start_point_id,minIndex,minDistSquare
0,1.0,0.00701597253277
1,2.0,0.00199578100338
2,1.0,0.00356403446908
3,1.0,0.00196722375682
4,2.0,0.00169293817802
5,1.0,0.0115823328218
6,2.0,0.00187907642919
7,2.0,0.00232827321314
8,2.0,0.0121113835376
9,2.0,0.00235184736475
10,2.0,0.00181123161491
11,1.0,0.00427679309323
12,1.0,0.00727795040953
13,2.0,0.00133689432378
14,2.0,0.00205909632708
15,1.0,0.00278813951748
16,1.0,0.0100575518154
17,1.0,0.00318413346065
18,2.0,0.00281717673034
19,2.0,0.00223889561511
20,1.0,0.00384997673628
21,1.0,0.00321578232657
22,1.0,0.00491579821698
23,2.0,0.00221093457132
24,1.0,0.00282772452138
25,1.0,0.00409570979025
26,1.0,0.00334012729003
27,1.0,0.0299659732702
28,2.0,0.00195514535266
29,2.0,0.00149415488174
30,1.0,0.00345855768087
31,0.0,0.0
32,2.0,0.00289898225385
33,1.0,0.00765317654105
34,1.0,0.00721813050813
35,1.0,0.0060036328994
36,2.0,0.00252847543479
37,2.0,0.00204352829188
38,2.0,0.00214620014998
39,2.0,0.002522604206
40,1.0,0.0040237771122
41,2.0,0.00240213453172
42,2.0,0.00178945813457
43,2.0,0.00331994363272
44,1.0,0.00549255003429
45,2.0,0.0019560290667
46,2.0,0.00201476302819
47,2.0,0.00208222922229
48,2.0,0.00150580312264
49,2.0,0.00321927612208
50,2.0,0.0018149332692
51,2.0,0.00317412858101
52,1.0,0.0209426061251
53,1.0,0.00403840489505
54,1.0,0.00228940960454
55,2.0,0.00165185982951
56,2.0,0.0013725685694
57,1.0,0.00419978840656
58,1.0,0.0115509513688
59,1.0,0.00390132429138
60,2.0,0.00231203765745
61,1.0,0.00157912606467
62,1.0,0.00327259486982
63,2.0,0.00209779444214
64,2.0,0.00176117354584
65,2.0,0.00218433436045
66,2.0,0.00191470286898
67,2.0,0.00234921843253
68,1.0,0.0028639560873
69,1.0,0.00150889978574
70,2.0,0.00148575179325
71,2.0,0.00208209147793
72,2.0,0.00189142693825
73,1.0,0.00410942949557
74,1.0,0.00294978646677
75,1.0,0.00196972553007
76,1.0,0.00913287423526
77,1.0,0.00311082785454
78,1.0,0.00775905904831
79,1.0,0.00308801680131
80,2.0,0.00195945055366
81,2.0,0.00273912282958
82,2.0,0.00169580950911
83,2.0,0.00229372652773
84,1.0,0.00436837584635
85,1.0,0.00140793793419
